,verification,texts,Cluster_labels
2472,Unkwon,"I have been loyal British Airways and found little to complain about. The last two long hauls I have done this year with BA has seen the passengers wearing winter coats when flying to the tropics due to the cabin being kept freezing. But my main complaint is the nice little earner BA have come up with where you pay seat allocation and extra for bulkhead or emergency exit seats where there is more leg room. I have now paid the high rate on numerous occasions only to find the plane configuration has changed and I am in a regular seat, the crew have been known to ask me for proof! Today's flight was no exception, I wasn't even given an apology or a refund but told to keep my voice down. The crew looked tired and just going through the motions. My loyalty may have come to an end and I am seriously considering Air Mauritius or Emirates for my next trip.",negative
2473,Unkwon,"Flight and crew great, the problems came when we had to deal with the Orlando check in staff and customer complaints in uk. Total nightmare and they just did not care at all. Our seats were booked 3 months in advance as we had a small baby with us. When arriving at Orlando airport to return home the check in agent changed our seats to mid row and no bassinets. We noticed before going through security and returned to advise to get our seats that we had booked back. This turned into 2 hours of sheer hell with the staff (including airport manager) while my baby screamed the place down hungry, as we could not go through security until they had rectified the problem. The staff were rude and arrogant and refused to admit they had messed up and refused to change our seats back as they had seated someone else there who had no baby. Even though these seats are reserved for people with babies due to the bassinet availability. Eventually it was changed back after so much stress and hassle. On returning we complained and 3 times we got the answer yes it was our fault we are sorry but we can't give anything to say sorry for our behaviour. Eventually after another complaint they agreed to 3000 avios and £25 voucher. I won't be flying with British Airways again as they are so bad in customer relations and check in agents leave a lot to be desired.",negative
2474,Unkwon,"Heathrow to Las Vegas with British Airways, and a farcical flight to be honest. 2 hours into a 10 hour flight running out of beer for those who drink is a joke. Not having the choice of food by the time it comes to you on 4 occasions over the 2 flights is pathetic - I guess you need to really consider where you book your seats by asking where they start serving from. I thought air stewardesses were meant to at least crack a smile once and again, and when asked reasonable questions (that had to be asked due to the ridiculous shortages) were meant to be as accommodating and friendly as possible? Hope I never have to fly with British Airways again.",negative
2475,Unkwon,"Smooth take off and landing. Plane about 75% full, mostly business people. The ""meal"" was past terrible. A horrible, tiny, dry bread bun with a the smallest piece of chicken ever and the most salty bacon I have ever tasted. The best part was the sticky bun that followed, washed down with lemonade. No entertainment for this 1hr 45min flight. The toilets were barely passable, had they been cleaned from the previous flight?",negative
2476,Unkwon,"Gatwick to Venice with British Airways. The plane was clean, crew good and reasonably on time, with good check in. But the flight was made unpleasant by BA encouraging people to take so much cabin baggage on to the plane. The return flight was perhaps 80% full, but the overhead lockers were full. It causes a scrum at boarding. The back row passengers board first and stowed their cases at the front so they don't have to carry them down the plane. The lockers are than full when the forward rows boarded they had nowhere to stow theirs. It was then chaos while the cabin crew sorted it out. It should be every passengers right to not have luggage under their feet.",negative
2477,Unkwon,"Round trip London to Luanda in British Airways business class (Club World). It's really below average. British Airways seems stand still in the competition with other airlines. The seats are cramped. There are no storage for personal items. The seats and toilets were not adequately cleaned up after previous flight. The food and IFE were average for business class. British Airways should think about improving the cabin in general or otherwise they will continue to fall behind their competitors. Even American Airlines and Iberia, which practically owned by same company, have improved a lot. The only positive thing was the FAs in both legs were polite and courteous. They were relatively young so they still have motivation to do their jobs.",negative
2478,Unkwon,"Not impressed with British Airways at all. We flew back from Denver after visiting family. We flew out with Lufthansa as they were the cheapest as we usualy fly to the Middle/Far east with them and know the standards and quality they have to offer. Our return Lufthansa flight home was cancelled due to flight attendant strikes at Lufthansa. We were booked straight on to the BA flight back to London which left only an hour later. Initially we were excited to fly with British Airways as it would've been our first time flying with them and also they fly a B747-400 from Denver to Europe. I am aware that the Boeing 747-400 isn't the newest aircraft, however Lufthansa had re-done the interior with new seats and side panels so very up to date inside. With British Airways the whole interior was very old and dirty, the seats hadn't been changed and the TV's in the back of the seats were such poor quality it was embarrassing. The food was of a poor standard - chicken meal I had was horrendous and even the flight attendant didnt know what she was serving. When asked what chicken dish it was, she replied ""some sort of curry thing"" when it was actually Chicken Teryaki. The air hostess was rude, the breakfast snack which was served before landing was also not very good, and cereal bar was rock hard. British Airways were double the price of Lufthansa when we initially booked, however I would never choose to fly with the again out of my own choice. Their Boeing 747's are dated which is a massive shame. Stick to an airline you know well, Lufthansa are the best European airline all round that I have used, and Emirates was the best internationally. I hope this review was helpful - obviously I am aware some customers would have had a better experience than me on newer planes with different food and air hostesses, however be aware when booking with British Airways as they are very over rated and not good value for money.",negative
2479,Unkwon,"Roundtrip with British Airways from Bangkok to London in Club World. Really the only good thing to talk about is the baggage allowance. The seats are horrid. Cramped and you feel like you're in a coffin if you have the backward-facing window seats. It's unbelievably cramped and when I pay more than 4x the economy ticket, I expect a place to keep a water bottle when the seat is in bed-mode. The main meal outbound was not heated and had to be returned. The pre-ordered beef on the inbound was dry. Changed it for the cold King prawn salad with couscous only to be told it was actually chicken. The bathrooms are hideous and there's no distinction between economy and business. Blocked washbasin, tissue fibres all over the place, stained walls and peeling finishes. Crew outbound were older and very pleasant. Inbound was a much younger crew and only one (Spanish lady) was truly aware of passenger needs. The rest were more intent on getting to Bangkok to party than to serve passengers with a smile. Boarding at LHR they were all in the galley blocking access to the other side of the cabin, chattering to each other and not one welcome or eye-contact after entering the door. The Club Word lounge meal offerings at T5 were abysmal. More like a school canteen. If anyone from BA reads these opinions, then please do something about your dreadful IFE. It's archaic and that's being polite. Fuzzy, small screens and if you choose a movie with subtitles, they're illegible.",negative
2480,Unkwon,"Awful customer service. My wife and I have flown with British Airways for almost 30 years, I booked a flight through the Executive club, which we are members of, nine months before travelling. Less than 4 weeks later we realised we would need to cancel, and after almost 1 hour on the phone on hold I decided to hang up and do it online. This seemed to be a simple process with a final message of ""we are processing your request"". After no confirmation at all, I received my credit card statement to find a refund from BA of under £250 - my booking was over £2500. After a call to customer services I was I will not get any further refund or be able to reinstate the flights. There was nobody else to talk to, and if I emailed any of the BA executives it would be forwarded to customer services and they would not reply! I asked about ombudsman or arbitrators and was informed that British Airways does not adhere to or listen to outside bodies. Over £2100 down the pan months before take off, so plenty of time for BA to double their money on my seats. Never again!",negative
2481,Unkwon,"I travelled from London to Sydney via Singapore in British Airways first class. I found the service outstanding, food was good lots of choices and the wine list was also good. Seat was comfortable, but the thing I would fault is that the armrest does stick in to you when in the sleep position. Would fly them again.",negative
2482,Unkwon,"British Airways have just moved Cape Town flights to Terminal 3 at Heathrow and it's not a good move. The Concorde lounge at T3 is looking so shabby that it's a disgrace. Thankfully, on board in the new first class was better. The crew was young but did a good job. Seats 4E/F are good for a couple, but there's some lack of privacy. Dinner was excellent, which is down to steam ovens British Airways have finally fitted in first class galley. The combination of PJs, duvet and a 6 ft 6 flat bed meant that sleep actually occurred. The letdown was the breakfast which was mediocre as usual, although it was good tea and coffee. But, as others have said, British Airways first class just isn't as good as Singapore and Emirates.",negative
2483,Unkwon,"Bengaluru to Heathrow. My first long haul flight with British Airways and I am not at all impressed. The service levels were disgusting. No ear plugs, No eye shades even after requests. Drink service only a showpiece. Asked for a Virgin Mary and was give iced tomato juice with lemon. When asked for other ingredients like Worcestershire sauce, tabasco, Salt and Pepper, I was told that this was the airline recipe. My request for some salt and pepper to spice my drink was refused saying that `we do not stock them in Economy'. When I requested for a talk with the Head of Staff on the aircraft, he was sorry and said the airline was trying to cut corners and the crew pleas were falling on deaf years. Only vegetarian dinner option provided since they had apparently run out. No menus etc. IFE selection with dated screens and headsets. Was a Low cost carrier experience that takes a passenger from Point A to Point B without any feel good moments.",negative
2484,Unkwon,"London to Kuala Lumpur on British Airways Boeing 777. Outbound in First, return in Club World (business class). Flights on time both ways. Comfortable seats/beds and very helpful and friendly staff. The quality of food and drink served, (particularly the food) was very poor.",negative
2485,Unkwon,"Nice to Las Vegas via Heathrow. Overall British Airways premium economy is a good product, seat is great day seat but not really good to sleep in. Food was average, not sure why they insist on beef and then overcook. Service on the way was terrific, on the way back was average - the stewardess was bitter and not happy. Entertaiment needs to be updated. A separate cabin and bathroom is a plus, and the fact that you are behind first class cabin means you get off right away. All in all a good experience, but with some things that need to be fine tuned.",negative
2486,Unkwon,"I recommend flying any other airline than British Airways. The fare looks reasonable until you get to where you have to buy your seat! Plus, if you have to cancel your flight (in my case a meeting was cancelled) they won't issue a voucher or a refund. I cancelled my flight six weeks in advance and they refunded $140.95 of a $1003.95 ticket! And, they won't issue a voucher. I will never fly British Airways, they are so greedy.",negative
2487,Unkwon,"British Airways First class seats are very good compared to their business class. Truly a great experience. Loving the windows, there’s a cover that can open, shade or close. The pods are quite private. 1-2-1 configuration. Service very attentive and personal. They will address you by name the moment you walk in, escort you to your seat and supply welcome drinks, towels, etc. Food is reasonable to good. If you don’t like (parts) of the meals, you can replace from (parts) of other sets, turning it in fact into semi- a-la-carte. Return flight was over-booked. By phone and email they contacted me and with my permission I was rebooked onto 1st class SQ flight at same day at more or less the same time. In all, it was a very pleasant experience. The Singapore lounge does not have a 1st class section and is mixed with business class. Fare difference between business class and 1st class is not as huge as with some other airlines. Definitely recommended.",negative
2488,Unkwon,"London Gatwick to Cancun, and I was disappointed. British Airways economy class is incredibly standard in comparison to Singapore Airlines or even Virgin Atlantic. Entertainment was not particularly varied, food was shocking, plus the staff were abrupt and snappy. I do not fly often so sometimes I might ask questions that seem pretty obvious, but I shouldn't be shamed for that. Not flying with British Airways again, that's for sure.",negative
2489,Unkwon,"I was among the several hundred passengers whose British Airways flight was canceled last night from Dallas Ft Worth to London. No status indicating canceled was put on the displays at the gate, once the decision was made. They were not updated. People were told to call 1-800-AIRWAYS for help, but were turned away by the phone system, and as a result lost their places in line. One woman had a glimmer of hope with the phone system, only to be told that because she was traveling with a baby, she had to go back and wait in line. Only 4 ticket counters were open to assist the passengers, and each passenger took over 20-30 minutes to help, on average. One couple took approximately 2 hours to be helped because they were booked to go on a cruise for their anniversary and this delay cost them their connection. They were not able to get any arrangements that would get them to their cruise for another 3 days. The couple will now miss half their cruise. No screening was performed to get people with important connecting flights (like that couple or myself) close to the front of the line. There were two other flights out to LHR that night that would have allowed me to still make my tour, but due to the disorganization of the help, I missed both, even though one was 5.5 hours after the original cancellation. It did not help that the British Airways staff blatantly allowed people to cut in line, for no reason. I was still in time to make the last flight out at 10:10pm, but a couple was allowed to cut in front of me in line and as a result by the time my new bookings were made it was too late. People were falling out of line because there was no area to rest, or provisions made for food or going to the restroom. The customers were too exhausted to stand for that long. No attempt to ""take a number"" and call people back was made for the comfort of customers. Not even water was passed out during the 6 hour waiting period. The counter staff, and how they were managed, was completely inadequate. The way British Airways handled this cancellation was atrocious! Things break, including airplanes, which is understood, but the manner in which a company recovers from such debacles says a great deal about their character. I am sorely disappointed in how this was dealt with. I will now miss the first, and arguably most anticipated, part of my tour to India, and my traveling companion (coming from Atlanta) will be there alone, which is not safe for a young, single female. This airline has cost me time, money, and most importantly safety, for myself and my friend.",negative
2490,Unkwon,"Gothenburg to Los Angeles via London Heathrow return with British Airways. Everything went well, and I especially like the upper deck of the A380 which feels spacious and relaxed. The seats were comfortable for a 10 hour flight. I liked the bins at the window seats as this gave me opportunity to store more than I expected. Toilets were clean throughout the flight. Crew were excellent, relaxed yet professional. Did not eat food so cannot comment on it. Drinks and snacks served on these flights. I do miss the warm wet wipes that Lufthansa for example hand out. Inflight entertainment better than usual. I recommend the British Airways A380.",negative
2491,Unkwon,"Shameful service from British Airways travelling from Heathrow to Delhi. A problem with seat I had booked and paid extra for, ground staff said they had no authority - lots of phone calls nothing achieved, suggested I spoke with crew, understanding but pretty lack luster. A few crew members just rude. Food bad, service little better, seems to be a problem with allowing passengers a basic such as water. British Airways need to be shaken out of their tauper. Most other airlines far superior. Cabin very untidy, washroom not kept supplied. Sorry to say but nothing to commend here. I will try to avoid BA in the future.",negative
2492,Unkwon,"My mother's flight from London to Moscow was cancelled. While understanding that these things happen, and accepting this inconvenience, it is the customer service of British Airways that I found outrageous. First of all, British Airways would refuse to speak to me (paying customer), as they had incorrect data in the ticket purchase details - despite the fact that I had any proof they may need, and all contact details in the ticket purchase data were mine. But fair enough, there is more. They couldn't speak to my mother (she doesn't speak English, they don't speak Russian), and while I was trying to offer various options to customer service agents, time passed. By the time (several hours later) I suggested their Moscow office calls my mother to confirm her identity, it was too late - Moscow office was closed, and all was offered is for my mother to call then next day. Needless to say, she had to travel next day, and it was unacceptable option. So, At no point my mother was offered anything required by Regulations 261/2004, Articles 8, 9 and 14 - so BA appears to be in breach of those regulations. I bought a ticket for my mother with Aeroflot instead, for a flight at a similar time to that cancelled by BA, and asked BA for refund. BA in turn (and after my mother travelled to Moscow) demanded a letter of authority from her, otherwise they would refuse to speak to me. They would not, for example, call my mother in Moscow and simply ask her. My mother sent me letter of authority, which I forwarded to the BA. Now they would speak to me, and promised refund and compensation. This was on 30th September 2015. On 20th October 2015, (20 days after - Regulations state that refund must be made within seven days) I chased this with BA. I was promised a refund and compensation again. As of today (6 November 2015), nothing was paid to me yet. Customer service responds with generic messages, themed ""We are sorry for the delay, the refund will be with you soon"". My requests are simply ignored. So, while it might be a reasonably comfortable airline when everything works well, I would encourage everyone to very seriously consider how you will be treated in an event of a delay or cancellation. In my experience, the treatment was appalling.",negative
2493,Unkwon,"I would never fly British Airways on London-Istanbul-London route again. Business class seat is awful, same as economy seat, no space to work or even space for your legs, no entertainment, no TV. BA thinks they can get away with making so much profit and ripping you off. Definitely going for Turkish Airline in the future.",negative
2494,Unkwon,"Geneva to Beijing via LHR. First flights on British Airways for six years - not because I was avoiding them, I just did not fly much. Used to be a big fan of BA but recent negative reviews made me a bit nervous. Well, my experiences on board the 2 flights were excellent. Cabin Services Directors on both flights were approachable, courteous and professional and team members exemplary. The boarding in Geneva was efficient, seat was comfortable for economy class and the flight departed before time. The sandwich and drinks provided were appreciated. On time arrival in Heathrow Terminal 5. The process of getting to the Beijing flight was relatively quick. The flight to Beijing was a 3 year old Boeing 777-300 series and my seat was 37A - the emergency exit seat that quite a few people have complained about because it has no window and the emergency slide box on the door limited leg room. I am 6' 3"" tall and there was more than enough space for my long legs. Bar service offered shortly after take off. The food was good (smoked salmon starter, beef/rice dish, chocolate orange mousse). IFE was excellent (compared to the United flights I had taken to the USA earlier in the month) with a good selection of films and TV shows. During the flight, the crew came by with trays of drinks. Breakfast was a cooked breakfast with muesli starter, orange juice and a bread roll. Coffee refills were offered. The flight landed on time. I really could not fault the planes, service or food on both flights. Economy seating is cramped these days but BA seats are no worse/no better than other airlines. The return flights to Geneva a week later were just as good.",negative
2495,Unkwon,"British Airways from London Heathrow to Nairobi return, both trips in Club World and both exemplary in every way. On time, cheerful and professional flight attendants, presentable and appealing meals, and on our return flight, which departed at 11:30 pm, a conspicuous effort to begin the meal service quickly so passengers could get to sleep quickly.",negative
2496,Unkwon,"I am BA gold primarily due to the fact that I fly with Qatar Airways as part of oneworld. Recent flight First class from Dubai to Seattle and return first class to LHR, and business class (Club) to Abu Dhabi. Crew are great in First class on the leg to Seattle. The product is tired, the call centre is useless, on hold for over 45 minutes, messed up bookings - not good enough. Crew on return over familar in first, ground crew at Heathrow looked bored. Its the Business class seat gets me this face to face at a stranger - who designed these? I would never use it again, this shutter up and down, the snottiest crew I ever came across with a steward with an attitude problem. Food shocking in club, first was good. Great wines. Overall its tired hardware, good crew except LHR-AUH on the 31st. I suggest Willie Walsh flies Qatar Airways - that's true business class and first class.",negative
2497,Unkwon,"Newark to Heathrow with British Airways. Very disappointed that I paid so much money for Premium Economy, and yet so little extra above economy class. Was in row 10 on both the outgoing and incoming (night) flights. Seats were not comfortable in that they were less roomy. I understand that because of the row, both the table and screen were in the arm rests, but by the time I had used a cardigan and the blanket to pad out the arm rests (very hard on the elbows) I felt very cramped. My immediate neighbour kept messing with his seat and was eventually moved as he said it would not recline. Later I tried mine (no one behind me) and, the same, it would not recline. Breakfast was a wholemeal croissant just out of the fridge - yuk. The British Airways check in staff at Newark are so surly and miserable. Whoever made the tanoy annoucements for boarding had an accent so that I could not distinguish what she was saying. On my outgoing trip and arrival at USA customs queue I realised that I did not have the customs entry form. Seems I should have been given one to complete by the BA check-in person. I had asked the flight attendants if there were any forms to be completed and they said they would check and get back to me. Never saw them again. Am definitely going back to Virgin Atlantic where Premium Economy seats are really roomy and comfortable and the staff friendly - even the ones at Newark.",negative
2498,Unkwon,"Excellent flight and no complaints even though we were delayed due fog at Gatwick. The pilot kept us briefed as to what was going on and the cabin crew looked after us. I was however dismayed by the BA agent that dealt with our check in at Venice. We were first in the queue when check in opened and a supervisor asked us to go this woman, from the outset she was not happy. We were a party of 8 and she only wanted to check in 2. She was difficult and surly throughout. She told us we could not sit together and dotted us around the aircraft. This would have been accepted had she not insisted that an infant in our party had to sit with a 15 yr old boy and not with its mother. We then asked the supervisor to intervene and guess what we were all seated together so it was possible all the time. By the time we had been checked in the whole of the rest of the plane had been checked in by the 2 other staff. This was a dreadful agent representation of BA, the UK's flag ship airline. I feel BA need to know how their passengers are treated by agent staff. I have not included this experience in my rating of BA. Once through check-in the flight experience was excellent.",negative
2499,Unkwon,"Return British Airways flight from Heathrow to Las Vegas. The cabin crew were very good, helpful and friendly. However, the quality of the seatback screens and the seats are very tired, and very oudated. The films and tv shows are good, however the quality of the screen is poor, compared to other airlines. The seats are also well past their serviceable life. Other airlines offer far better seats and entertainment so it is rather disappointing British Airways don't. Even other, newer, BA planes have far superior seats and VOD, to which it is shocking the difference in the service offered for economy class, there isn't even a charging port in the Boeing 747 when there is on the newer planes. At least the meals were good.",negative
2500,Unkwon,"Lisbon to London on 2nd November was like many other flights affected by the thick fog which forced cancellation and delays of so many flights into Heathrow. The plane was boarded at normal departure time, just in case this flight got a slot into Heathrow, and kept informed of developments by the flight deck. Since at one point it appeared likely our slot might not open up till 16.00 (scheduled at 10.20) the food and drink service was started, and cabin crew did a great job keeping a congenial atmosphere in the cabin whilst doing this. Eventually we did get a slot at 14.00 and got into Heathrow round 16.30. It was quite stressful for those passengers who had connections to make (I did make my connection that afternoon to Washington), but the stress was reduced by continuous up-to-the-minute information from the flight deck and service from cabin crew.",negative
2501,Unkwon,"Philadelphia to Athens via Heathrow with British Airways. The lack of service amazed me since I have flown both first and business on many airlines. The Club World menu listed 2 Starter items, 3 Main choices, and 4 desserts. I chose the Grilled halloumi and portobello mushroom starter. If it was grilled, it must have been a long time before it was refrigerated. Not too good. The fillet was like a piece of old shoe leather. I will admit that it might be difficult to come up with a medium rare steak but this was bad. I was never give a choice of desserts but found a piece of pie on my tray along with the starter and steak. I was never offered coffee and had to stop an attendant and ask for some. I was not offered any after dinner drink. In short, the service was rushed and more like a coach class. It appeared that the attendants were trying to get rid of us and get us to sleep rather than serve us. I was very disappointed and would avoid British Airways business class. This was on the PHL to Heathrow segment on October 26. Service on the second leg to Athens was good.",negative
2502,Unkwon,"I flew with BA in September and cannot complain about anything. Everything went smoothly and cabin crew were nice and willing to help. Food was of expected quality for a short-haul flight. Ground service was excellent and seats were perfectly acceptable for 2 hours long flight. I use to fly with BA quite often and I never had any problem. To be fair, you cannot expect luxury of Emirates for this price, but with BA you will get value for money.",negative
2503,Unkwon,"Singapore to London with British Airways in business class. Very comfortable flat bed, but I didn't like the layout at all. Poor quality food and an indifferent cabin crew. They were just not interested, and serving was a chore. I was hesitant to ask for anything. There are other business class flights out there!",negative
2504,Unkwon,"I am a bronze member of the executive club. British Airways executive club is actually worthless since it is almost impossible to use their avios. However, one of the few benefits left is the option to choose your seat for free a week before the flight, which I did. Unfortunately I found out when I tried to check in that I had been moved from the good seats I have chosen to the worst business class seats on this flight. All my efforts to get those seats back were in vain. We flew the A380 for the first time. I still strongly prefer the 747 upper deck cabin. Beside the HD screens, nothing can beat the quality of the old 747.",negative
2505,Unkwon,"After flying with BA long haul for the first time on one of their newer A380s, the flight back to LHR was with their B747-400 which is my favourite aircraft along with the A340-400. Ground service at SFO was efficient. Purchased extra luggage and was still 2kg over my limit on each bag of which the check in agent was considerate enough to let me off. My guess was that the flight was not full as there was virtually no one at the check in counters. I was wrong, the gate was packed. Considering I had 3 pieces of carry on luggage, I wasn't asked to put one of them on the hold. The flight was delayed by approximately 1 hour. Boarding was smooth and efficient. Upon boarding, passengers were having trouble storing their carry on resulting in me storing mine some 4-5 rows behind. The seat is no surprise, their older product with the outdated IFE. Cabin temperature was boiling. Passengers were requesting FAs to turn it down a little which they have mid way through the flight when everyone was asleep. The seat pitch on the Boeing 747-400 is 31 inches pitch in economy class. Compared to their A380 product, the cabin felt cramped. Although the seat was comfortable itself to sit on, it just felt cramped. I had the most uncomfortable long haul flights in my entire life., the flight became more and more unbearable and wasn't able to get any sleep at all. I was constantly trying to find a comfortable position for me to have nap but it was impossible and worse when the person in front of you reclines. To make things worse, the IFE was very unreliable compared to the A380. I fly with BA frequently on European routes where their economy cabin product is negligible due to the flight times but I would try and not fly with BA's product on their B747s. Inflight meals were rather disappointing. Service was rushed and FA's showed no enthusiasm. First meal was bland roast chicken. Landing meal was an English breakfast considering we were arriving at lunch time. Overall, I would fly with BA again but I would avoid the long haul product offered on their B747-400s.",negative
2506,Unkwon,"I flew with British Airways for my family holiday to and from Sharm El Sheikh from London Gatwick. I checked in online both ways 24 hours before which was fine and all went well. However, I have a special dietary need and I was not able to click on this for the flight. With BA, you get meals, snacks and drinks included so I knew that we would have a meal with a 5 hour flight. While on board, I was able to choose the fruit option for breakfast on the way there - however on the way back it was a cold deli option which consisted of a wrap, a roll and some crackers. I asked if there was a gluten free option and the assistant said ""No just this"". Following this we could have pretzels and biscuits with a drink. Obviously someone like me who is a coeliac cannot eat anything with wheat/gluten so I was left with a slab of cheese which should have gone with the crackers. BA really need to address this as it is not fair to advertise they provide meals on board when clearly there was nothing available for me. Luckily I always carry my own food with me and I did not starve. Also I didn't know why there was no inflight entertainment for such a a long flight.",negative
2507,Unkwon,"Flew return with British Airways from BKK on a 777-200 in premium economy. Don't bother paying extra to pre-book the seats, we paid £160 to reserve seats 12A/12B outward journey and seats 12G/12H return journey and never got what we paid for. On bringing the seat change to the attention of staff at BKK, was told sorry, system make a mistake. On a positive note the staff were working hard and water and juice was offered frequently on the day flight. The female staff on flight BA0010 looked as if the did not want to be there, very abrupt and surly looking. On the other hand the male staff on this flight were very professional, smiling and very attentive. British Airways need to work a bit harder and update the grubby fleet on this route as the Asian airlines offer a better product. Blankets shabby in business / premier elite. The inflight films / ancient music very limited. Come on BA wake up your losing customers and need to up your game. What was once a great airline is going downhill.",negative
2508,Unkwon,Having flown with both VA and BA I choose BA for my trip to/from SFO. On both legs the flight attendants seemed friendly and we were fed and watered at regular intervals. IFE was ok but the music options were poor. Hoping to fly with BA again to Denver mid-2016 but only if they replace their old 747's on that route with something newer.,negative
2509,Unkwon,"Late friday night flight out of Heathrow. Late takeoff due to traffic, but flight was smooth and landed right on schedule. Cabin staff were excellent, extremely friendly and competent. Food service was fast and with good quality. Would definitely recommend it for short haul flights, although price was much higher compared to other carriers.",negative
2510,Unkwon,"Heathrow Galleries lounge overcrowded and under staffed. Tables covered in used plates and glasses which staff were not clearing. Many empty dishes at the buffet. Unacceptably bad. The Dreamliner was comfortable but disappointing in a new aircraft to find that there is still a lack of easy access storage space and shelves next to the seat. As ever, a pre loaded tray with ill fitting tablecloth plonked in front of you. Food service more a Premium Economy product than club. No window blinds but a gimmicky and slow system which dims the Windows and was rather unsatisfactory. Overall a mediocre performance from BA which needs to up its business class game, particularly on new generation aircraft.",negative
2511,Unkwon,"Very comfortable flight in the Club World Cabin. The amount of personal space is rather limited and it is frustrating having to climb over your prostrate neighbour's legs. That said the Club World seats are very comfortable when a) upright, b) in ""z"" lounging position and c) as flat bed. In fact much more comfortable and sleep inducing than the much larger and spacious seats on the new Singapore Airlines 777s which appear amazing but simply are not comfortable. The big let down in BA Club is the food. Plonked in front of you on a plastic try with a table cloth that doesn't fit. Then the condiments arrive in those ghastly sachets that look more at home in a transport cafe. I like the seats despite the lack of personal and storage space but Willie Walsh is going too need to improve the food offer which falls well behind the Asian and ME3 carriers.",negative
2512,Unkwon,"I purchased a Club World return to Narita in the Black Friday sale. It cost £1,010.06 which is a bargain for a direct business class return from Heathrow to Tokyo. The lounge at Heathrow was not crowded and boarding was prompt. I had pre booked my seat, rear facing by the window. I was sitting comfortably when a Japanese gentleman arrived and told me I was sitting in his seat. I told him it was my seat. I asked to see his boarding pass which was for my seat. I showed him my electronic boarding pass which was for the same seat. At this stage the Purser was passing and we raised the issue. I decided to stand my ground as I was happy with my pre booked seat. The Purser went away to investigate. When he returned, he apologised for the error and quietly asked me to follow him and said I would not be disappointed. I was let to the front row of the First Class seats and enjoyed an excellent flight to Tokyo with splendid service and first class food and fine wines. Very spacious suite with comfortable seat and dedicated wardrobe. An excellent flight.",negative
2513,Unkwon,"Checked in online prior to departure expecting to use a British Airways online check in desk or fast bag drop on arrival at Manchester Airport. BA used to have a fast bag drop desk for customers who have checked in online. When I enquired as to where it was on arrival at Manchester Airport I was directed to the back of the long check in queue by a surly check in agent who stated, ""We don't have one. You have to join the back of the queue"". In that case what on earth is the benefit of checking in online?! It serves no purpose whatsoever. The shuttle down to Manchester was delayed by about an hour as was our onward flight from LHR to LAS. This flight was on one of their ancient B747-400 aircraft which was 25 years old, and it showed. The seats in economy were extremely uncomfortable for a 10.5 hour flight and there was no legroom. Inflight entertainment options were poor. I have never undertaken such an uncomfortable flight. The in flight catering was mediocre but the cabin crew provided good service. Our return flight from LAS to LHR was delayed by an hour and although we had booked to travel in and out from T5 at LHR I received an email half way through my trip informing me that we would be flying into T3 at LHR. As we were already delayed into LHR, by the time we had crossed to T5 our connecting flight to Manchester had already departed and we had to be booked onto another flight which meant we had been travelling for a total of 26 hours by the time we got home. BA made sure our travel experience was as miserable and inconvenient as possible. I have decided after many issues of late with BA that I can no longer be bothered with the hassle. If the flights are not delayed then they usually manage to lose my luggage. I have finally had enough and will use other carriers whenever I can.",negative
2514,Unkwon,"I recently got an unexpected upgrade to World Traveller Plus whilst on my way to New York. There was free cava before take-off and a random hot towel handed out. The seat was roomy and leg room was fantastic. Even more so because I was at the front of the World Traveller Plus cabin just after Club World, so there were no seats in front of me. Inflight entertainment was ok, but not as good as I was expecting. I did struggle to find things that interested me to watch as the choice was quite limited. I think now with early digital release of many films on things like i-Tunes, the days of being able to see really recent films on aircraft before they become more widely available are coming to an end. As I was at the front of the cabin I had a screen that folded out of my armrest, which meant I was looking down at the screen instead of straight ahead, which gave me a bit of a neck ache after awhile. It was also annoying to stow away. The food was good for airline food. You get a superior meal in World Traveller Plus and it was pretty tasty and filling. The pre-landing snack wasn't up to much though. It was a dull sandwich, much like those that BA hand out on short-haul European flights. A real bonus about being in World Traveller Plus is that you're closer to the front of the plane and the exit. This is useful when arriving in the US where immigration queues can sometimes be exceptionally long. I ended up being close to the front of the immigration queue as I was so quick off the plane, which meant I was out through immigration pretty quickly. I think to pay for World Traveller Plus would be quite expensive for what you get in some respects (essentially a nicer meal and more leg room) but it was a nice treat from BA and If you were going on a super long haul flight I can definitely see the attraction.",negative
2515,Unkwon,"First ever long haul trip with British Airways as I usually fly with Cathay Pacific or KLM so I thought I'd give BA a chance. Ground service at London/Heathrow Terminal 5 is smooth and no hassle. Check in and security was very fast and efficient. I particularly like BA's boarding procedure at Heathrow, very orderly and organised regardless of the fullness of the flight. Onboard the A380 is BA's new 'World Traveller' cabin on the main deck at 3x4x3 configuration. BA offers 31.5 inches legroom compared to CX's 32 inches and it was surprisingly very comfortable with the slim design seats. IFE had a few glitches but the FA's were happy to assist and worked perfectly throughout the flight. However, more movies, TV programmes and music options could be offered. Meals were mediocre. Drinks were served around an hour after take off. Meals followed straight after. Lunch meal option was either curry, vegetarian pasta or chicken and often for the latter. Surprisingly good but still not as good as CX. Portions could be better. Drinks were offered throughout the flight along with snack boxes. Pre-landing meal was also given with two options: pasta or chicken casserole, I went for the latter. Again, portions could be better. Overall, I would fly long haul with BA again on their new product (A380, B777-300ER and B787).",negative
